id,name,price,description
638,BMW,4,Public-key foreground Graphic Interface
639,Ford,60,Programmable asymmetric database
640,Suzuki,97,Inverse intermediate intranet
641,Oldsmobile,61,Sharable zero tolerance implementation
642,Saturn,94,Up-sized high-level time-frame
643,Nissan,60,Enterprise-wide leading edge archive
644,Volvo,67,Synergized 24 hour methodology
645,Aston Martin,46,Triple-buffered secondary complexity
646,Volvo,66,Centralized eco-centric forecast
647,Acura,96,Integrated empowering function
648,Mazda,54,Stand-alone neutral projection
649,Subaru,12,Progressive multimedia Graphic Interface
650,Mercedes-Benz,94,Fully-configurable methodical open system
651,Lincoln,33,Focused heuristic definition
652,Cadillac,86,Cross-platform value-added functionalities
653,Pontiac,14,Business-focused dynamic leverage
654,Oldsmobile,40,Multi-tiered client-server capability
655,GMC,29,Persistent dynamic secured line
656,Porsche,81,Total secondary protocol
657,Lexus,3,Visionary demand-driven focus group
658,Porsche,22,Versatile local approach
659,Oldsmobile,85,Seamless systematic monitoring
660,Lincoln,9,Phased static paradigm
661,Toyota,93,Stand-alone foreground architecture
662,Suzuki,17,Seamless next generation conglomeration
663,Ford,96,De-engineered actuating hardware
664,Dodge,66,Streamlined systematic task-force
665,Mitsubishi,52,Advanced next generation conglomeration
666,Mercedes-Benz,92,Exclusive cohesive capability
667,Audi,64,Re-contextualized modular concept
668,Lincoln,89,Seamless explicit neural-net
669,Dodge,76,Enhanced value-added parallelism
670,Honda,41,Fully-configurable well-modulated website
671,Volvo,8,Integrated contextually-based core
672,Chevrolet,28,Organized holistic concept
673,Acura,28,Focused holistic encryption
674,Ford,100,Multi-lateral systematic service-desk
675,Chevrolet,79,Sharable user-facing ability
676,Jeep,85,Configurable zero defect database
677,Nissan,4,Profit-focused intermediate budgetary management
678,Kia,93,Team-oriented local throughput
679,Ford,40,Vision-oriented disintermediate strategy
680,Nissan,31,Implemented national infrastructure
681,BMW,38,Horizontal 3rd generation Graphical User Interface
682,Subaru,48,Multi-tiered intangible help-desk
683,Volkswagen,54,Decentralized multi-tasking groupware
684,Buick,32,Synergistic bandwidth-monitored ability
685,Subaru,61,Reactive solution-oriented neural-net
686,Maserati,45,Seamless dedicated intranet
687,Ford,14,Customizable systematic application
688,Audi,42,Grass-roots executive support
689,Porsche,23,Down-sized disintermediate analyzer
690,GMC,28,Reduced secondary instruction set
691,Geo,64,Grass-roots system-worthy policy
692,Mercedes-Benz,24,Self-enabling bottom-line emulation
693,Cadillac,33,Expanded well-modulated artificial intelligence
694,Chevrolet,52,Object-based eco-centric function
695,Mercedes-Benz,94,Persevering background definition
696,Lamborghini,34,Multi-tiered reciprocal parallelism
697,Ford,23,Progressive 6th generation monitoring
698,Cadillac,20,Re-contextualized incremental task-force
699,Lotus,22,Public-key 3rd generation secured line
700,Porsche,93,Automated real-time process improvement
701,Isuzu,26,Triple-buffered scalable core
702,Hyundai,28,Universal national open system
703,Isuzu,32,Multi-tiered bi-directional flexibility
704,Lincoln,5,Upgradable next generation portal
705,Volkswagen,39,Seamless fault-tolerant strategy
706,Mercedes-Benz,84,Cross-group upward-trending middleware
707,Volkswagen,15,Configurable 24/7 model
708,Toyota,86,User-friendly composite product
709,Acura,55,Reactive interactive productivity
710,Mercedes-Benz,16,Object-based bifurcated open architecture
711,Suzuki,64,Optional asymmetric array
712,Suzuki,22,Optional eco-centric migration
713,GMC,49,Versatile intangible hierarchy
714,Cadillac,31,Assimilated 24/7 hub
715,Hyundai,14,Proactive background task-force
716,Lamborghini,35,Configurable mobile protocol
717,Dodge,49,Customizable responsive firmware
718,BMW,69,Distributed stable alliance
719,Dodge,81,Cross-platform system-worthy productivity
720,Mazda,41,Innovative methodical throughput
721,Audi,12,Grass-roots incremental analyzer
722,GMC,33,Public-key asymmetric data-warehouse
723,Acura,55,Multi-layered static algorithm
724,Dodge,57,Organized foreground definition
725,Honda,14,Networked non-volatile task-force
726,GMC,54,Re-engineered leading edge circuit
727,Mazda,60,Front-line zero administration hardware
728,Toyota,81,Multi-tiered bandwidth-monitored superstructure
729,Buick,86,Total uniform success
730,Dodge,6,Managed solution-oriented flexibility
731,Cadillac,70,Switchable client-server installation
732,Mazda,48,Multi-channelled 6th generation architecture
733,Chevrolet,62,Sharable 5th generation standardization
734,Hummer,45,Switchable solution-oriented task-force
735,Audi,48,Upgradable responsive installation
736,Lexus,95,Inverse value-added structure
737,Chevrolet,8,Upgradable real-time leverage
738,Mercury,96,Enhanced didactic firmware
739,Mercury,85,Balanced bi-directional groupware
740,Oldsmobile,27,Virtual systematic neural-net
741,Mitsubishi,94,Advanced background superstructure
742,Chevrolet,61,Virtual static open system
743,Mercedes-Benz,27,Intuitive motivating attitude
744,Subaru,100,Ergonomic even-keeled extranet
745,Infiniti,27,Up-sized homogeneous solution
746,Mercury,70,Enterprise-wide user-facing alliance
747,Ford,53,Versatile leading edge hub
748,Hyundai,79,Persevering client-server hierarchy
749,Audi,9,Multi-tiered grid-enabled customer loyalty
750,Ferrari,25,Multi-channelled 4th generation neural-net
751,Suzuki,37,Intuitive multi-tasking utilisation
752,Honda,37,Multi-layered empowering knowledge base
753,Subaru,94,Streamlined object-oriented data-warehouse
754,Alfa Romeo,15,Integrated dedicated archive
755,Ford,4,Centralized grid-enabled knowledge user
756,Pontiac,56,Distributed multimedia groupware
757,Mazda,51,Decentralized bi-directional middleware
758,Tesla,100,Synchronised regional moratorium
759,Ford,19,Front-line full-range protocol
760,Cadillac,61,Switchable multimedia challenge
761,Suzuki,57,Adaptive 6th generation superstructure
762,Pontiac,7,Up-sized actuating local area network
763,Mitsubishi,93,Upgradable bi-directional structure
764,Cadillac,93,Switchable clear-thinking workforce
765,Mercury,86,Diverse human-resource moratorium
766,Toyota,5,Streamlined executive initiative
767,Oldsmobile,53,Realigned modular info-mediaries
768,Infiniti,5,Horizontal next generation synergy
769,Maybach,94,Compatible radical productivity
770,Volvo,22,Multi-channelled interactive encryption
771,Honda,67,Devolved multi-state encryption
772,Land Rover,89,Total asynchronous application
773,Ford,69,Devolved mobile definition
774,Buick,85,Distributed maximized extranet
775,Ford,44,Mandatory empowering installation
776,Ford,58,Cross-group maximized open system
777,Volvo,48,Face to face human-resource capability
778,Nissan,13,Profit-focused hybrid adapter
779,Buick,22,Vision-oriented optimal projection
780,Volvo,41,Integrated empowering service-desk
781,Buick,61,Reverse-engineered actuating service-desk
782,Buick,66,Quality-focused uniform encryption
783,GMC,31,Profit-focused web-enabled benchmark
784,Infiniti,4,Up-sized methodical middleware
785,Porsche,29,Extended scalable implementation
786,GMC,40,Programmable zero defect structure
787,Chevrolet,60,Reverse-engineered attitude-oriented complexity
788,Chrysler,73,Progressive multimedia paradigm
789,Cadillac,49,Quality-focused client-driven hierarchy
790,Mercedes-Benz,29,Fully-configurable empowering neural-net
791,Chevrolet,97,Grass-roots solution-oriented orchestration
792,Mercury,11,Managed client-server success
793,Chevrolet,35,Synchronised homogeneous application
794,GMC,19,Balanced intermediate time-frame
795,Hyundai,59,Virtual foreground analyzer
796,Volvo,37,Business-focused optimizing Graphic Interface
797,Lexus,18,Expanded actuating access
798,Mitsubishi,19,Extended tangible installation
799,BMW,36,Reactive optimizing firmware
800,Ford,2,Object-based systematic capability
801,Lincoln,85,Right-sized neutral migration
802,Porsche,68,Synergized tangible protocol
803,Lexus,18,Inverse secondary core
804,Chrysler,16,Synergistic maximized standardization
805,Chevrolet,62,Mandatory multimedia frame
806,Mitsubishi,44,Monitored system-worthy circuit
807,Volkswagen,19,Self-enabling static workforce
808,GMC,57,Down-sized multi-state standardization
809,Pontiac,28,Sharable executive infrastructure
810,Lexus,41,Focused dynamic database
811,Lotus,1,Implemented tangible success
812,Cadillac,8,Business-focused 5th generation circuit
813,Buick,5,Reduced high-level knowledge user
814,Lexus,51,Extended dynamic complexity
815,Subaru,73,Synchronised static solution
816,MINI,62,Customer-focused hybrid portal
817,Land Rover,7,Seamless 3rd generation interface
818,GMC,3,Configurable methodical parallelism
819,Ford,19,Phased 5th generation focus group
820,Mercedes-Benz,67,Configurable neutral time-frame
821,Suzuki,34,User-centric stable superstructure
822,Dodge,77,Self-enabling radical implementation
823,Toyota,34,Vision-oriented user-facing moderator
824,Toyota,48,Object-based methodical array
825,Kia,20,Managed actuating function
826,Ford,24,Object-based system-worthy frame
827,Ford,48,Stand-alone attitude-oriented protocol
828,Ford,88,Seamless upward-trending knowledge base
829,Nissan,27,Business-focused tangible intranet
830,Kia,9,Advanced heuristic capacity
831,Ford,36,Balanced user-facing contingency
832,Porsche,93,Compatible intermediate superstructure
833,Chevrolet,4,Compatible foreground middleware
834,Chrysler,69,Total fault-tolerant portal
835,Pontiac,2,Adaptive homogeneous open system
836,Porsche,34,User-centric system-worthy initiative
837,GMC,84,Distributed national moratorium
838,Mercury,19,Progressive modular budgetary management
839,Ford,99,Face to face 4th generation customer loyalty
840,Toyota,74,Re-engineered bandwidth-monitored collaboration
841,Mitsubishi,1,Realigned incremental alliance
842,Oldsmobile,59,Customer-focused empowering functionalities
843,Mercury,82,User-centric system-worthy emulation
844,BMW,86,Synergistic methodical policy
845,Volkswagen,82,Inverse uniform database
846,BMW,24,Balanced contextually-based architecture
847,MINI,72,Persevering context-sensitive standardization
848,Dodge,80,Focused demand-driven superstructure
849,MINI,6,Reduced full-range core
850,Hyundai,100,Polarised didactic local area network
851,Dodge,61,Multi-tiered multi-tasking model
852,Nissan,6,Multi-channelled interactive ability
853,Lincoln,90,Visionary intangible groupware
854,Chrysler,10,Total motivating concept
855,Chevrolet,95,Cloned solution-oriented encryption
856,Rolls-Royce,78,Compatible client-driven productivity
857,Acura,63,Ergonomic multimedia installation
858,Toyota,53,Realigned static complexity
859,Subaru,71,Re-engineered stable utilisation
860,Saturn,80,Profound demand-driven archive
861,Mazda,43,Devolved context-sensitive time-frame
862,Mercedes-Benz,37,Configurable coherent conglomeration
863,Ford,23,Versatile incremental knowledge base
864,Ford,77,Persevering motivating architecture
865,Kia,69,Front-line multi-tasking analyzer
866,Nissan,2,Re-contextualized static data-warehouse
867,Mitsubishi,9,Multi-layered bandwidth-monitored time-frame
868,Lincoln,32,Sharable zero defect process improvement
869,Chevrolet,75,Pre-emptive well-modulated ability
870,Volkswagen,40,Enterprise-wide motivating instruction set
871,Cadillac,67,Sharable fresh-thinking strategy
872,GMC,35,Digitized global flexibility
873,Ford,25,Switchable optimal monitoring
874,Lexus,79,Polarised 24/7 process improvement
875,Cadillac,61,Synergistic neutral extranet
876,Lexus,22,Focused clear-thinking policy
877,Volkswagen,6,Operative impactful open architecture
878,Suzuki,57,Decentralized homogeneous contingency
879,Suzuki,46,Synergistic 5th generation paradigm
880,Mazda,86,Public-key tangible leverage
881,Mazda,62,Focused executive internet solution
882,Nissan,19,Optimized directional system engine
883,Mazda,93,De-engineered holistic local area network
884,Dodge,65,Ameliorated context-sensitive productivity
885,Audi,31,Enterprise-wide regional parallelism
886,Mitsubishi,88,Stand-alone actuating Graphical User Interface
887,Toyota,86,Customizable system-worthy standardization
888,Dodge,12,Inverse intermediate utilisation
889,Chevrolet,38,Organized static artificial intelligence
890,Mazda,4,Phased asynchronous initiative
891,Audi,65,Adaptive content-based collaboration
892,Dodge,95,Cloned systemic process improvement
893,Ford,6,Total next generation architecture
894,Lexus,6,Operative multi-tasking Graphic Interface
895,Bentley,21,Profound intermediate secured line
896,Suzuki,94,Cross-group executive superstructure
897,Oldsmobile,51,Persistent bottom-line core
898,Nissan,69,Self-enabling bottom-line software
899,Land Rover,100,Quality-focused zero administration product
900,Mitsubishi,17,Reactive dynamic archive
901,Nissan,7,User-centric stable flexibility
902,Audi,78,Fundamental neutral standardization
903,Mitsubishi,89,Proactive mobile toolset
904,Mercury,69,Vision-oriented even-keeled strategy
905,Honda,21,Programmable attitude-oriented strategy
906,Plymouth,68,Robust multi-state time-frame
907,Hyundai,24,Synergized multimedia parallelism
908,Toyota,55,Distributed heuristic artificial intelligence
909,Buick,41,Reduced client-driven utilisation
910,GMC,41,Persistent needs-based projection
911,Chevrolet,14,Extended attitude-oriented array
912,Pontiac,57,Programmable optimal algorithm
913,Volkswagen,42,Persistent optimal core
914,Dodge,81,Persevering 4th generation open system
915,Toyota,42,Advanced eco-centric database
916,Land Rover,56,Exclusive 24/7 throughput
917,BMW,8,Reactive bifurcated capability
918,Honda,84,Networked fault-tolerant budgetary management
919,Plymouth,64,Intuitive high-level time-frame
920,Isuzu,85,Multi-tiered reciprocal paradigm
921,GMC,9,Reactive asymmetric core
922,Nissan,59,Reduced 4th generation moderator
923,Mitsubishi,70,Multi-lateral bifurcated open architecture
924,Dodge,10,Fully-configurable asymmetric hierarchy
925,Honda,48,Sharable holistic internet solution
926,Ford,22,Synergistic attitude-oriented project
927,Kia,73,Cross-platform static array
928,Ford,26,Self-enabling maximized access
929,Audi,16,Advanced solution-oriented infrastructure
930,Ford,27,Managed multimedia core
931,Mercedes-Benz,39,De-engineered full-range functionalities
932,Nissan,34,Adaptive holistic protocol
933,Ford,47,Down-sized bandwidth-monitored attitude
934,Ford,89,Sharable real-time time-frame
935,Geo,62,Stand-alone fresh-thinking product
936,Mercedes-Benz,66,Progressive bandwidth-monitored access
937,Volkswagen,14,Cross-platform bifurcated emulation
938,GMC,22,Profound web-enabled synergy
939,Volkswagen,20,Total explicit forecast
940,Pontiac,82,Progressive tertiary strategy
941,Mazda,54,Multi-channelled bi-directional access
942,Mitsubishi,6,Synergized 4th generation frame
943,Suzuki,16,Sharable high-level structure
944,Toyota,42,Fundamental next generation implementation
945,Porsche,7,Switchable impactful access
946,Toyota,84,Multi-lateral executive standardization
947,Chevrolet,61,Exclusive interactive archive
948,Land Rover,67,Upgradable object-oriented leverage
949,Mazda,100,Business-focused solution-oriented firmware
950,Nissan,13,Synchronised clear-thinking firmware
951,Mercury,31,Customer-focused bottom-line data-warehouse
952,BMW,21,Innovative real-time initiative
953,GMC,26,Optimized asymmetric customer loyalty
954,Lincoln,75,Inverse interactive paradigm
955,Hyundai,39,Business-focused logistical adapter
956,Acura,56,Diverse static budgetary management
957,BMW,51,Team-oriented methodical Graphic Interface
958,Maserati,85,Balanced composite application
959,BMW,83,Phased uniform alliance
960,GMC,9,Total multi-state framework
961,Mercury,43,Inverse intermediate customer loyalty
962,Acura,72,Future-proofed maximized pricing structure
963,Buick,98,Public-key bottom-line parallelism
964,Jeep,89,Assimilated 3rd generation application
965,Dodge,6,Monitored human-resource interface
966,Mercury,32,Future-proofed mobile utilisation
967,Mazda,82,Synergized 3rd generation productivity
968,Nissan,81,Optional empowering encryption
969,Infiniti,97,Implemented fault-tolerant extranet
970,Plymouth,95,Horizontal fault-tolerant orchestration
971,Lexus,43,Visionary systemic application
972,Audi,41,Compatible bifurcated info-mediaries
973,Pontiac,53,User-centric bandwidth-monitored infrastructure
974,Mitsubishi,11,Programmable attitude-oriented database
975,Audi,15,Visionary mission-critical architecture
976,BMW,85,Digitized leading edge success
977,Ford,45,Cross-group didactic protocol
978,Audi,79,Customer-focused 3rd generation workforce
979,BMW,13,Devolved content-based local area network
980,Volkswagen,7,Business-focused empowering architecture
981,Maybach,21,Mandatory zero administration adapter
982,Dodge,94,Visionary tangible contingency
983,Ford,51,Down-sized responsive implementation
984,Mercedes-Benz,77,Innovative clear-thinking workforce
985,Infiniti,59,Balanced heuristic archive
986,Volvo,80,Self-enabling exuding encryption
987,Daewoo,23,Compatible composite Graphical User Interface
988,Mercedes-Benz,13,Expanded 3rd generation archive
989,Honda,60,Fully-configurable user-facing Graphical User Interface
990,Suzuki,77,Polarised client-driven implementation
991,Dodge,96,Ergonomic reciprocal process improvement
992,Mazda,37,Inverse static model
993,Saturn,47,Compatible leading edge capability
994,Mitsubishi,16,Progressive 24 hour utilisation
995,Chrysler,47,Organized zero administration website
996,Volkswagen,24,Reactive zero administration ability
997,Buick,99,Adaptive bottom-line service-desk
998,Dodge,45,Total reciprocal instruction set
999,Chrysler,60,Optional reciprocal access
1000,MINI,45,Focused 6th generation forecast
